Physics Concept,1,21.81378s,0,(4.4_ 0.8_ -3.2)(353.3_ 166.9_ 359.7)(4.4_ 0.8_ -3.1)(348.5_ 171.7_ 0.1)

Experience Name,Experience Number,Total Time,User Clickes,HeatMap
Physics Concepts,1,15.56571s,0,(4.5_ 0.0_ -2.4)(0.0_ 0.0_ 0.0)

Experience Name,Experience Number,Total Time,User Clickes,HeatMap
Physics Concept,1,39.35764s,0,(4.2_ 1.2_ -2.5)(351.9_ 176.3_ 1.3)(4.4_ 0.8_ -3.1)(2.6_ 70.4_ 356.1)

Experience Name,Experience Number,Total Time,User Clickes,HeatMap
Physics Concept,1,21.10505s,0,(4.4_ 0.8_ -3.1)(356.6_ 72.0_ 0.1)(4.4_ 0.8_ -3.2)(354.2_ 155.9_ 1.1)

Experience Name,Experience Number,Total Time,User Clickes,HeatMap
